0,中天北湾新城,89,2室2厅1卫,,10200,南北,低层,毛坯,高新
1,桦林苑,99.8,3室2厅1卫,143,6979,南北,中层,毛坯,净月
2,嘉柏湾,32,1室1厅1卫,43.3,7390,南,高层,精装修,经开
3,中环12区,51.5,2室1厅1卫,57,9035,南北,高层,精装修,南关
4,昊源高格蓝湾,210,3室2厅2卫,160.8,13060,南北,高层,精装修,二道
5,金色橄榄城,118,3室1厅1卫,200,5900,南北,高层,简装修,二道
6,新星宇和润,84,2室1厅1卫,75.06,11191,南北,高层,精装修,南关
7,长电紫盈花城,96,2室2厅1卫,90,10667,南北,中层,精装修,二道
8,万科上东区,107,3室2厅1卫,99.44,10760,南,中层,精装修,二道
9,中海莱茵东郡,205,3室2厅2卫,,13141,南北,高层,精装修,净月
10,诺睿德国际商务广场,105,3室2厅1卫,92.7,11327,南北,中层,精装修,净月
11,华润橡树湾,198,4室2厅2卫,,13934,南北,中层,精装修,南关
12,二二八厂宿舍,65,2室1厅1卫,62.93,10329,南北,高层,简装修,朝阳
13,平阳小区,56,2室1厅1卫,70.1,7989,南北,中层,精装修,南关
14,上东城市之光,85,2室1厅1卫,89,9551,南北,中层,精装修,二道
15,中海国际社区,285,4室3厅3卫,169.2,16844,东,高层,暂无,净月
16,中海净月华庭,115,2室2厅1卫,86.1,13357,西北,中层,精装修,净月
17,隆礼小区,97,3室1厅1卫,104,9327,南北,中层,精装修,朝阳
18,融创上城,205,3室2厅2卫,167,12275,南北,高层,豪华装修,高新
19,龙首壹号院,290,4室2厅3卫,280,10357,南北,中层,豪华装修,南关
20,华润橡府,400,2室2厅2卫,209,19139,南北,低层,毛坯,南关
21,华润凯旋门,120,2室2厅1卫,91,13187,南北,低层,精装修,高新
22,金桥花园,115,2室2厅1卫,128.63,8940,南北,中层,精装修,南关
23,金穗花园,119,3室2厅2卫,130.45,9122,南北,高层,豪华装修,净月
24,中海水岸春城,148,3室2厅1卫,121.67,12164,东,中层,暂无,净月
25,富豪花园,89.9,2室2厅1卫,93,9667,南北,低层,精装修,朝阳
26,锦江花园二区,37,1室1厅1卫,50,7400,南,中层,简装修,绿园
27,晟鑫康诗丹郡,125,3室2厅2卫,130,9615,南北,高层,毛坯,净月
28,我的家园,105,3室2厅2卫,148,7095,南北,低层,精装修,南关
29,新星宇和润,95.8,2室2厅1卫,89.5,10704,东,高层,暂无,南关
30,新奥蓝城,128,2室2厅1卫,101,12673,南北,中层,中装修,绿园
31,天嘉水晶城,125,3室2厅2卫,139.34,8971,南北,中层,精装修,绿园
32,中天北湾新城,70,2室2厅1卫,82,8537,南北,中层,毛坯,高新
33,万龙原色生活,81,2室1厅1卫,84,9643,东西,中层,精装修,南关
34,锦江花园一区,85,2室1厅1卫,109,7798,南北,中层,豪华装修,绿园
35,至善小区,95,2室2厅1卫,108,8796,南北,高层,精装修,南关
36,万龙银河城,41,2室2厅1卫,62,6613,南,中层,简装修,宽城
37,吴中家天下,110,2室2厅1卫,86,12791,南北,中层,精装修,二道
38,新星宇和悦,78,2室1厅1卫,65.1,11982,南北,高层,精装修,高新
39,东方之珠凤栖苑,90,2室1厅1卫,95,9474,南北,高层,精装修,二道
40,万科东湾半岛,46,2室1厅1卫,55,8364,西,高层,精装修,南关
41,吉盛小区,51,1室1厅1卫,55,9273,南北,中层,精装修,二道
