id,user_id,username,method_name,url,http_method,access_time,last_login_time,account_creation_time,request_params,business_module_name,client_ip,province,city,point_x,point_y
1410,162,张力方,从案例创建主项目,http://127.0.0.1:9009/api/v1/green-project/add-from-case,POST,2022-05-31 19:39:40,2022-05-06 04:43:37,,"[{""caseProjectId"":1,""projectName"":""12431234""}]",主项目模块,180.110.30.240,江苏省,南京市,119,32
1411,6,dongzy,修改主项目数据,http://127.0.0.1:9009/api/v1/green-project/edit,POST,2022-05-31 20:15:56,2022-04-29 00:30:58,,"[{""baseBoundaries"":""暂无"",""basementFloorArea"":43313.97,""buildAreaId"":441302,""buildJudgementStar"":""ONE_STAR"",""buildType"":""RESIDENCE"",""buildingFootPrint"":8288.46,""buildingHeight"":0.0,""floorAreaRatio"":3.0,""greenRatePlanningTargets"":0,""greenRatio"":35.0,""grossFloorArea"":140163.32,""groundArea"":96849.35,""groundCapacityBuildingArea"":0.0,""groundParkingArea"":0.0,""id"":65,""inheritionalAreaIds"":""0,440000,441300,441302"",""meteorologicDataAreaId"":1,""numberOfFloorsAboveGround"":0,""numberOfFloorsUnderGround"":0,""projectName"":""案例10"",""projectStage"":""CONSTRUCTION_DESIGN"",""siteArea"":30698.0,""totalParkingUnits"":1234,""undergroundArea"":43313.97}]",主项目模块,223.65.115.43,江苏省,南京市,119,32
1412,6,dongzy,修改主项目数据,http://127.0.0.1:9009/api/v1/green-project/edit,POST,2022-05-31 20:17:19,2022-04-29 00:30:58,,"[{""baseBoundaries"":""暂无"",""basementFloorArea"":43313.97,""buildAreaId"":420802,""buildJudgementStar"":""ONE_STAR"",""buildType"":""RESIDENCE"",""buildingFootPrint"":8288.46,""buildingHeight"":0.0,""floorAreaRatio"":3.0,""greenRatePlanningTargets"":0,""greenRatio"":35.0,""grossFloorArea"":140163.32,""groundArea"":96849.35,""groundCapacityBuildingArea"":0.0,""groundParkingArea"":0.0,""id"":65,""inheritionalAreaIds"":""0,420000,420800,420802"",""meteorologicDataAreaId"":1,""numberOfFloorsAboveGround"":0,""numberOfFloorsUnderGround"":0,""projectName"":""案例10"",""projectStage"":""CONSTRUCTION_DESIGN"",""siteArea"":30698.0,""totalParkingUnits"":1234,""undergroundArea"":43313.97}]",主项目模块,223.65.115.43,江苏省,南京市,119,32
1413,281,博文ustb,新增主项目,http://127.0.0.1:9009/api/v1/green-project/add,POST,2022-05-31 21:58:47,2022-05-19 05:18:37,2022-05-19 05:17:27,"[{""baseBoundaries"":"""",""buildAreaId"":130102,""buildType"":""RESIDENCE"",""buildingFootPrint"":90.0,""constructionCorporation"":"""",""grossFloorArea"":10.0,""groundArea"":1.0,""groundCapacityBuildingArea"":1.0,""inheritionalAreaIds"":""0,130000,130100,130102"",""meteorologicDataAreaId"":46,""numberOfFloorsAboveGround"":6,""numberOfFloorsUnderGround"":7,""projectName"":""测试"",""projectStage"":""CONSTRUCTION_DESIGN"",""undergroundArea"":23.0}]",主项目模块,118.187.50.119,北京市,北京市,116,40
1414,296,缪睿,从案例创建主项目,http://127.0.0.1:9009/api/v1/green-project/add-from-case,POST,2022-05-31 22:00:57,2022-05-31 20:47:04,2022-05-31 20:46:59,"[{""caseProjectId"":1,""projectName"":""11""}]",主项目模块,120.229.91.129,广东省,深圳市,114,23
1415,281,博文ustb,新增运输数据和生产数据,http://127.0.0.1:9009/api/v1/transport/ptVoIns,POST,2022-05-31 22:04:22,2022-05-19 05:18:37,2022-05-19 05:17:27,"[{""productions"":[{""carbonWastage"":28100.0,""materialWastage"":10.0,""tmfId"":""67""}],""projectId"":380,""transports"":[]}]",碳计算工具模块,118.187.50.119,北京市,北京市,116,40
1416,281,博文ustb,修改保存生产运输阶段估算或者精算总值,http://127.0.0.1:9009/api/v1/production-and-transportation/estimate/edit/380,POST,2022-05-31 22:04:23,2022-05-19 05:18:37,2022-05-19 05:17:27,"[[{""carbonEstimateValue"":28100.0,""isEstimated"":0,""stageValue"":2},{""carbonEstimateValue"":0.0,""isEstimated"":0,""stageValue"":3}],380]",碳计算工具模块,118.187.50.119,北京市,北京市,116,40
1417,170,熊小饭,批量新增/删除当前项目制冷系统用户填写的数据,http://127.0.0.1:9009/api/v1/refrigerant-system-info/add/112,POST,2022-05-31 22:09:30,,,"[[],112]",碳计算工具模块,183.194.160.239,上海市,上海市,121,31
1418,170,熊小饭,新增制冷剂产生的碳排放量总值,http://127.0.0.1:9009/api/v1/refrigerant-estimate/add/112,POST,2022-05-31 22:09:31,,,"[{""estimateValue"":0.0,""isEstimate"":0},112]",碳计算工具模块,183.194.160.239,上海市,上海市,121,31
1419,170,熊小饭,修改当前项目用户填写的暖通系统能耗量,http://127.0.0.1:9009/api/v1/HVAC-energy-consumption/add/112,POST,2022-05-31 22:09:31,,,"[{""energyConsumption"":311.258},112]",碳计算工具模块,183.194.160.239,上海市,上海市,121,31
